,,Honghuayuan,,Guanwu,,Fengxiangqiao,,Qinglongzui,,Miaolinwan West,,Bainidacun-Sanhuaicun,,Lanmaxiang South,,Lujiaozhen,,Yangliugou,,Miaolingwan Central,,Wangjiawan Riverside,,Gaojiabian,,Ludiping,,Xiaotan,,Fenxiang,,Guantangyuan,,Wangjiawan North,,Shichang,,Wangjiawan South,,,TaxonMixedID,FossilGroup
,,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,base,top,,NaN,Graptolite
75,Appendispinograptus supernus sinicus,,,0.46,0.66,,,,,,,,,,,,,,,,,6.44,7.37,,,,,,,,,,,,,,,,,,NaN,Graptolite
76,Dicellograptus planus,,,0.84,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
77,Normalograptus acutus,,,0.84,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
78,Normalograptus tatianae,,,0.84,0.95,,,,,,,,,0.24,0.38,1.3,1.9,,,,,7.12,7.54,,,,,,,,,,,,,,,0.21,0.28,,NaN,Graptolite
79,Rectograptus obesus,,,0.95,1.33,,,,,,,,,0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
80,Dimorphograptus longicaudatus,,,1.33,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
81,Sudburigraptus robustus,,,1.33,1.43,,,,,,,,,,,,,,,1.63,1.9,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
82,Dicellograptus turgidus,,,,,0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
83,Dicellograptus mirabilis,,,,,0.3,0.8,,,5.45,5.95,,,,,,,,,,,7.8,8,,,,,,,,,,,,,,,,,,NaN,Graptolite
84,Paraorthograptus longispinus,,,,,0.55,0.8,,,,,,,,,,,0,0.3,,,7.12,7.2,,,,,,,,,,,,,,,,,,NaN,Graptolite
85,Normalograptus lubricus,,,,,,,1.3,5.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,Graptolite
